word | morph | numbers 
абажур | абажур!
бурление | бурл!ени!е 
бурлеск | бурлеск! и бурлеск!а
бурлеска | бурлеск! и бурлеск!а
бурлескный | бурлеск!н!ый
бурливый | бурл!ив!ый
бурлить | бурл!и!ть
бурмистр | бурмистр!
бурмистрский | бурмистр!ск!ий
бурнус | бурнус!
бурный | бур!н!ый
буро-желтый | бур!о!-желт!ый
буро-зеленый | бур!о!-зелен!ый
буро-красный | бур!о!-красн!ый
буровато-коричневый | бур!оват!о!-коричнев!ый
буроватый | бур!оват!ый
буровзрывник | бур!о!вз!рыв!ник!
буровзрывной | бур!о!вз!рыв!н!ой
буровик | бур!ов!ик!
буровой | бур!ов!ой
бурозем | бур!о!зем!
бурозубка | бур!о!зуб!к!а
буросбоечный | бур!о!с!бо!еч!н!ый
бурошнековый | бур!о!шнек!ов!ый
бурре | бурре, нескл., с.
буррет | буррет!
бурса | бурс!а
бурсак | бурс!ак!
бурсацкий | бурс!ац!к!ий
бурский | бур!ск!ий
бурт | бурт!
буртик | бурт!ик!
буртование | бурт!ова!ни!е 
буртоукладчик | бурт!о!у!клад!чик!
бурун | бурун!
бурундук | бурундук!
бурундуковый | бурундук!ов!ый
бурундучный | бурундуч!н!ый
бурундучок | бурундуч!ок!
бурунный | бурун!н!ый
бурхан | бурхан!
бурчание | бурч!а!ни!е 
бурчать | бурч!а!ть
бурш | бурш!
буры | бур!ы, ед. бур!
бурый | бур!ый
бурьян | бурьян!
бурьянный | бурьян!н!ый
буря | бур!я
бурят | бурят!
бурят-монгол | бурят!-монгол!
бурят-монголка | бурят!-монгол!к!а
бурят-монгольский | бурят!-монголь!ск!ий
бурятка | бурят!к!а
бурятский | бурят!ск!ий
бусина | бус!ин!а
бусинка | бус!ин!к!а
буссоль | буссоль!
буссольный | буссоль!н!ый
бустер | бустер!
бустер-насос | бустер!-на!сос!
бусы | бус!ы
бут | бут!
бутадиен | бутадиен! (газ)
бутадиеновый | бутадиен!ов!ый
бутадион | бутадион! (лекарство)
бутан | бутан!
бутафор | бутафор!
бутафория | бутафор!и!я 
бутафорный | бутафор!н!ый
бутафорский | бутафор!ск!ий
бутерброд | бутерброд!
бутербродец | бутерброд!ец!
бутербродик | бутерброд!ик!
бутербродная | бутерброд!н!ая, -ой
бутербродный | бутерброд!н!ый
бутил | бутил!
бутилацетат | бутил!ацет!ат!
бутилен | бутил!ен!
бутилкаучук | бутил!каучук!
бутиловый | бутил!ов!ый
бутить | бут!и!ть
бутиться | бут!и!ть!ся
бутобетон | бут!о!бетон!
бутобетонный | бут!о!бетон!н!ый
бутовщик | бут!ов!щик!
бутовый | бут!ов!ый
бутон | бутон!
бутонизация | бутон!из!аци!я 
бутончик | бутон!чик!
бутоньерка | бутоньерк!а
бутсы | бутс!ы, ед. бутс!а
бутуз | бутуз!
бутузик | бутуз!ик!
бутузить | бутуз!и!ть
бутылка | бутыл!к!а
бутылконос | бутыл!к!о!нос!
бутыломоечный | бутыл!о!мо!еч!н!ый
бутылочка | бутыл!оч!к!а
бутылочно-баночный | бутыл!оч!н!о!-баноч!н!ый
бутылочно-зеленый | бутыл!оч!н!о!-зелен!ый
бутылочный | бутыл!оч!н!ый
бутыль | бутыль!
бутыльный | бутыль!н!ый
буфер | буфер!
буферизация | буфер!из!аци!я 
буферный | буфер!н!ый
буфет | буфет!
буфетец | буфет!ец!
буфетная | буфет!н!ая, -ой
буфетный | буфет!н!ый
буфетчик | буфет!чик!
буфетчица | буфет!чиц!а
буфф | буфф! (в театре)
буффон | буфф!он!
буффонада | буфф!он!ад!а
буффонить | буфф!он!и!ть
буффонный | буфф!он!н!ый
буффонский | буфф!он!ск!ий
буффонство | буфф!он!ств!о
буфы | буф!ы (сборки)
бух1 | бух1, звукоподр.
бух2 | бух2, глаг. междом. (от бух!ну!ть1)
буханка | буханк!а
буханье | бух!а!нь!е 
бухарец | бухар!ец!
бухарка | бухар!к!а
бухарский | бухар!ск!ий
бухать | бух!а!ть
бухаться | бух!а!ть!ся
бухгалтер | бухгалтер!
бухгалтерия | бухгалтер!и!я 
бухгалтерский | бухгалтер!ск!ий
бухгалтерша | бухгалтер!ш!а
бухнувший | бух!ну!вш!ий
бухнувшийся | бух!ну!вш!ий!ся
бухнуть1 | бух!ну!ть1 (к бух!а!ть)
бухнуть2 | бух!ну!ть2 (расширяться)
бухта | бухт!а
бухточка | бухт!очк!а
буцефал | буцефал!
буча | буч!а
бучение | буч!ени!е  (от бут!и!ть)
бучение | буч!ени!е  (от буч!и!ть)
бучило | буч!и!л!о
бучильник | буч!и!ль!ник!
бучильный | буч!и!ль!н!ый
бучить | буч!и!ть
бучиться | буч!и!ть!ся
бушевание | бушева!ни!е 
бушевать | бушева!ть
бушель | бушель!
бушлат | бушлат!
бушлатный | бушлат!н!ый
бушмен | бушмен!
бушменка | бушмен!к!а
бушменский | бушмен!ск!ий
буян | бу!ян!
буянить | бу!ян!и!ть
буянство | бу!ян!ств!о
бы | бы, б, частица (пишется раздельно с предшествующим словом, но в союзах чтобы, кабы, дабы и в слове якобы слитно)
бывало | бы!ва!л!о
бывалый | бы!ва!л!ый
бывальщина | бы!ва!ль!щин!а
бывать | бы!ва!ть
бывший | бы!вш!ий
быдло | быдл!о
бык1 | бык!1 (животное)
бык2 | бык!2 (опора моста)
быковатый | бык!оват!ый
былевой | бы!л!ев!ой
былина1 | былин!а1 (эпическая песня)
былина2 | былин!а2 (стебелек)
былинка | былин!к!а
былинно-эпический | былин!н!о!-эп!ическ!ий
былинный | былин!н!ый
былиночка | былин!очк!а
былинушка | былин!ушк!а
былинщик | былин!щик!
былой | бы!л!ой
быль | бы!ль!
былье | бы!ль!е (быльем поросло) [й!о]
быстренький | быстр!еньк!ий
быстрехонький | быстр!ехоньк!ий
быстрешенький | быстр!ешеньк!ий
быстрина | быстр!ин!а
быстроглазый | быстр!о!глаз!ый
быстрогустеющий | быстр!о!густ!е!ющ!ий
быстродействие | быстр!о!дей!ств!и!е 
быстродействующий | быстр!о!дей!ств!у!ющ!ий
быстрозамороженный | быстр!о!за!морож!енн!ый
быстроизнашивающийся | быстр!о!из!наш!ива!ющ!ий!ся
быстроиспаряющийся | быстр!о!ис!пар!я!ющ!ий!ся
быстрокрылый | быстр!о!крыл!ый
быстролетящий | быстр!о!лет!ящ!ий
быстроногий | быстр!о!ног!ий
быстропадающий | быстр!о!пад!а!ющ!ий
быстроразвивающийся | быстр!о!разви!ва!ющ!ий!ся
быстроразъемный | быстр!о!разъем!н!ый
быстрорастворимый | быстр!о!рас!твор!им!ый
быстрорастущий | быстр!о!раст!ущ!ий
быстрорежущий | быстр!о!реж!ущ!ий
быстросменный | быстр!о!с!мен!н!ый
быстросохнущий | быстр!о!сох!н!ущ!ий
быстросъемный | быстр!о!съем!н!ый
быстрота | быстр!от!а
быстротвердеющий | быстр!о!тверд!е!ющ!ий
быстротекущий | быстр!о!тек!ущ!ий
быстротечный | быстр!о!теч!н!ый
быстроток | быстр!о!ток!
быстроходность | быстр!о!ход!н!ость!
быстрый | быстр!ый
быстрянка | быстр!янк!а
быт | быт!
бытие | бы!ти!е 
бытийный | бы!тий!н!ый
быткомбинат | быт!комбинат!
бытность | бы!т!н!ость!
бытование | быт!ова!ни!е 
бытовать | быт!ова!ть
бытовизм | быт!ов!изм!
бытовик | быт!ов!ик
бытовист | быт!ов!ист!
бытовистский | быт!ов!ист!ск!ий
бытовой | быт!ов!ой
бытовщина | быт!ов!щин!а
бытописание | быт!о!пис!а!ни!е 
бытописатель | быт!о!пис!а!тель!
быть | бы!ть, буд!у
бытье | бы!ть!е [й!о]
бычатина | быч!ат!ин!а
бычачий | быч!ач!ий!
бычий | быч!ий!
бычина | быч!ин!а, м. (увелич.) и ж. (шкура вола)
бычиный | быч!ин!ый
бычиться | быч!и!ть!ся
бычковый | быч!к!ов!ый
бычок1 | быч!ок!1 (от бык!1)
бычок2 | бычок!2 (рыба)
бьеннале | бьеннале и биеннале, нескл., м. и ж.
бьющий | бь!ющ!ий
бэр | бэр!
бэрчизм | бэрч!изм!
бювар | бювар!
бюварный | бювар!н!ый
бювет | бювет!
бюджет | бюджет!
бюджетно-финансовый | бюджет!н!о!-финанс!ов!ый
бюджетный | бюджет!н!ый
бюллетенить | бюллетен!и!ть
бюллетенщик | бюллетен!щик!
бюллетенщица | бюллетен!щиц!а
бюллетень | бюллетень!
бюргер | бюргер!
бюргерский | бюргер!ск!ий
бюргерство | бюргер!ств!о
бюргерша | бюргер!ш!а
бюро | бюро, нескл., с.
бюрократ | бюрократ!
бюрократизация | бюрократ!из!аци!я 
бюрократизированный | бюрократ!из!ир!ова!нн!ый
бюрократизировать | бюрократ!из!ир!ова!ть
бюрократизироваться | бюрократ!из!ир!ова!ть!ся
бюрократизм | бюрократ!изм!
бюрократический | бюрократ!ическ!ий
бюрократичный | бюрократ!ичн!ый
бюрократия | бюрократ!и!я 
бюрократка | бюрократ!к!а
бюст | бюст!
бюстгальтер | бюст!гальтер!
бюстик | бюст!ик!
бюстовый | бюст!ов!ый
бязевый | бяз!ев!ый
бязь | бязь!
бяка | бяк!а, м. и ж.
бякать | бяк!а!ть
бякнуть | бяк!ну!ть
бяшка | бя!ш!к!а
в | в, во, предлог
в-восьмых | в!-восьм!ых
в-девятых | в!-девят!ых
в-десятых | в!-десят!ых
в-пятых | в!-пят!ых
в-седьмых | в!-седьм!ых
в-третьих | в!-тр!еть!их
в-четвертых | в!-чет!в!ерт!ых
в-шестых | в!-шест!ых
ва-банк | ва!-банк, нареч.
вабик | вабик!
вабить | ваб!и!ть
вавилонский | вавилон!ск!ий
вавилоны | вавилон!ы
вавилонянин | вавилон!ян!ин!
вавилонянка | вавилон!ян!к!а
вагон | вагон!
вагон-контейнер | вагон!-контейнер!
вагон-ледник | вагон!-лед!ник!
вагон-ресторан | вагон!-ресторан!
вагонетка | вагон!етк!а
вагонно-паровозный | вагон!н!о!-пар!о!воз!н!ый
вагонный | вагон!н!ый
вагоновожатый | вагон!о!вож!ат!ый, -ого
вагонооборот | вагон!о!оборот!
вагоноопрокидыватель | вагон!о!о!про!кид!ыва!тель
вагоноремонтный | вагон!о!ремонт!н!ый
вагоностроение | вагон!о!стро!ени!е 
вагоностроительный | вагон!о!стро!и!тельн!ый
вагончик | вагон!чик!
вагранка | вагран!к!а
вагранковый | вагран!к!ов!ый
ваграночный | вагран!оч!н!ый
вагранщик | вагран!щик!
важивать | важ!ива!ть, наст. вр. не употр.
важнецкий | важн!ецк!ий
важничанье | важн!ича!нь!е 
важничать | важн!ича!ть
важность | важн!ость!
важный | важн!ый
ваза | ваз!а
вазелин | вазелин!
вазелиновый | вазелин!ов!ый
вазисубани | вазисубани, нескл., с.
вазон | ваз!он!
вазопись | ваз!о!пись!
вазочка | ваз!очк!а
вакансия | ваканси!я 
вакантный | вакант!н!ый
вакации | вакаци!и
вакационный | вакаци!онн!ый
вакса | вакс!а
ваксить | вакс!и!ть
вакситься | вакс!и!ть!ся
вакуолизация | вакуол!из!аци!я 
вакуоль | вакуоль!
вакуольный | вакуоль!н!ый
вакуум | вакуум!
вакуум-аппарат | вакуум!-аппарат!
вакуум-камера | вакуум!-камер!а
вакуум-насос | вакуум!-на!сос!
вакуум-пресс | вакуум!-пресс!
вакуум-прессование | вакуум!-пресс!ова!ни!е 
вакуум-процесс | вакуум!-процесс!
вакуум-сушилка | вакуум!-суш!и!л!к!а!
вакуум-установка | вакуум!-у!станов!к!а
вакуум-фильтр | вакуум!-фильтр!
вакуум-щит | вакуум!-щит!
вакуум-экстракция | вакуум!-экстрак!ци!я 
вакуум... | вакуум... - первая часть сложных слов, пишется всегда через дефис (кроме вакуумметр)
вакуумирование | вакуум!ир!ова!ни!е 
вакуумировать | вакуум!ир!ова!ть
вакуумметр | вакуум!метр!
вакуумметрия | вакуум!метр!и!я 
вакуумно-термический | вакуум!н!о!-терм!ическ!ий
вакуумный | вакуум!н!ый
вакхальный | вакх!альн!ый
вакханалия | вакханал!и!я 
вакханальный | вакханаль!н!ый
вакханка | вакх!анк!а
вакхический | вакх!ическ!ий
вакцина | вакцин!а
вакцинация | вакцин!аци!я 
вакцинировать | вакцин!ир!ова!ть
вакцинироваться | вакцин!ир!ова!ть!ся
вакцинный | вакцин!н!ый
вакцинотерапия | вакцин!о!терап!и!я 
вал1 | вал!1 (насыпь)
вал2 | вал!2 (деталь машины)
вал3 | вал!3 (общая стоимость продукций)
валандаться | валанда!ть!ся
валансьен | валансьен, неизм.
валансьенский | валансьен!ск!ий
валах | валах!
валашка | валаш!к!а
валашский | валаш!ск!ий
валежник | вал!еж!ник!
валек | вал!ек! (от вал!2)
валенки | вал!ен!к!и
валеночки | вал!ен!оч!к!и
валентность | валентн!ость!
валер | валер!
валериана | валериан!а и валерьян!а
валериановый | валериан!ов!ый и валерьян!ов!ый
валерьяна | валериан!а и валерьян!а
валерьянка | валерьян!к!а
валерьяновый | валериан!ов!ый и валерьян!ов!ый
валет | валет!
валивать | вал!ива!ть, наст. вр. не употр.
валидол | валидол!
валик1 | вал!ик1 (от вал!1)
валик2 | вал!ик!2 (от вал!2)
валить1 | вал!и!ть1 (о снеге, толпе)
валить2 | ва!ли!ть2 (заставлять падать)
валиться1 | вал!и!ть!ся1 (о снеге, толпе)
валиться2 | ва!ли!ть!ся2 (заставлять падать)
валище | вал!ищ!е
валка | вал!к!а
валкий | вал!к!ий
валковый | вал!к!ов!ый
валкость | вал!к!ость!
валовой | вал!ов!ой
валок1 | вал!ок!1 (от вал!1)
валок2 | вал!ок!2 (от вал!2)
валторна | валторн!а
валторнист | валторн!ист!
валуй | валуй!
валун | валун!
валунный | валун!н!ый
валух | валух! и валух!
вальдшнеп | вальдшнеп!
вальковый | валь!к!ов!ый
вальс | вальс!
вальс-бостон | вальс!-бостон!
вальсировать | вальс!ир!ова!ть
вальтер-скоттовский | вальтер!-скотт!ов!ск!ий
вальтрап | вальтрап!
вальцевание | валь!ц!ева!ни!е 
вальцевать | валь!ц!ева!ть
вальцеваться | валь!ц!ева!ть!ся
вальцованный | валь!ц!ова!нн!ый
вальцовка | валь!ц!ов!к!а
вальцовочный | валь!ц!ов!оч!н!ый
вальцовщик | валь!ц!ов!щик!
вальцовщица | валь!ц!ов!щиц!а
вальцовый | валь!ц!ов!ый
вальцы | валь!ц!ы
вальяжный | вальяжн!ый
вальян | вальян!
валюта | валют!а
валютирование | валют!ир!ова!ни!е 
валютно-финансовый | валют!н!о!-финанс!ов!ый
валютный | валют!н!ый
валютчик | валют!чик!
валяльно-войлочный | вал!я!ль!н!о!-!войлоч!н!ый
валяльный | вал!я!ль!н!ый
валяльня | вал!я!ль!н!я
валяние | вал!я!ни!е 
валянный | вал!я!нн!ый, прич. (от вал!я!ть)
валяный | вал!ян!ый, прил.
валять | вал!я!ть
валяться | вал!я!ть!ся
вампир | вампир!
ванадиевый | ванад!и!ев!ый
ванадий | ванад!ий!
вандал | вандал!
вандализм | вандал!изм!
вандальский | вандаль!ск!ий
ванилевый | ванил!ев!ый
ванилин | ванил!ин!
ванилиновый | ванил!ин!ов!ый
ваниль | ваниль!
ванильный | ваниль!н!ый
ванна | ванн!а
ванная | ван!н!ая, -ой [ван(н)!н!ая]
ванночка | ванн!очк!а
ваннщица | ванн!щиц!а
ванный | ван!н!ый [ван(н)!н!ый]
ванты | вант!ы, ед. вант!а
ванька-встанька | вань!к!а-вста!нь!к!а, м.
вапор | вапор!
вапоризация | вапор!из!аци!я 
вапориметр | вапор!и!метр!
вар | вар!
варан | варан!
варвар | варвар!
варваризм | варвар!изм!
варварка | варвар!к!а
варварский | варвар!ск!ий
варварство | варвар!ств!о
варган | варган!
варганить | варган!и!ть
варево | вар!ев!о
варежки | варежк!и, ед. варежк!а
варенец | вар!ен!ец!
варение | вар!ени!е (действие) 
вареник | вар!ен!ик!
вареничная | вар!ен!ич!н!ая, -ой
варенка | вар!ен!к!а
варенный | вар!енн!ый, прич.
варено-копченый | вар!ен!о!-копч!ен!ый
вареный | вар!ен!ый, прил.
варенье | вар!ень!е  (кушанье)
вареньице | вар!ень!иц!е
вариабельный | вари!абельн!ый (в статистике)
вариант | вари!ант!
варианта | вари!ант!а
вариантность | вари!ант!н!ость!
вариативный | вари!ат!ивн!ый
вариатор | вари!атор!
вариационный | вари!аци!онн!ый
вариация | вари!аци!я 
варивать | вар!ива!ть, наст. вр. не употр.
вариокино | вари!о!кино, нескл., с.
вариометр | вари!о!метр!
вариоскопический | вари!о!скоп!ическ!ий
вариоскопия | вари!о!скоп!и!я 
вариофильм | вари!о!фильм!
вариоэкран | вари!о!экран!
варить | вар!и!ть
вариться | вар!и!ть!ся
варка | вар!к!а
варкий | вар!к!ий
варнак | варнак!
варначка | варнач!к!а
варница | вар!ниц!а
варничный | вар!нич!н!ый
варочный | вар!оч!н!ый
варшавянин | варшав!ян!ин!
варшавянка | варшав!ян!к!а
варьете | варьете, нескл., с.
варьирование | варь!ир!ова!ни!е 
варьированный | варь!ир!ова!нн!ый
варьировать | варь!ир!ова!ть
варьироваться | варь!ир!ова!ть!ся
варяг | варяг!
варяжский | варяж!ск!ий
василек | василек!
василечек | василеч!ек!
василиск | василиск!
васильковый | васильк!ов!ый
васисдас | васисдас! (форточка)
вассал | вассал!
вассалитет | вассал!итет!
вассальный | вассаль!н!ый
вассальский | вассаль!ск!ий
вассальство | вассаль!ств!о
вата | ват!а
ватага | ватаг!а
ватажка | ватаж!к!а
ватажный | ватаж!н!ый
ватажок | ватаж!ок!
ватер | ватер!
ватержакет | ватер!жакет!
ватержакетный | ватер!жакет!н!ый
ватерклозет | ватер!клозет!
ватерклозетный | ватер!клозет!н!ый
ватерлиния | ватер!лини!я 
ватермашина | ватер!машин!а
ватерный | ватер!н!ый
ватерпас | ватерпас!
ватерпасный | ватерпас!н!ый
ватерполист | ватер!пол!ист!
ватерполо | ватер!поло, нескл., с.
ватерпольный | ватер!поль!н!ый
ватин | ват!ин!
ватиновый | ват!ин!ов!ый
ватка | ват!к!а
ватман | ватман!
ватманский | ватман!ск!ий
ватник | ват!ник!
ватный | ват!н!ый
ваточный | ват!оч!н!ый
ватрушечка | ватрушеч!к!а
ватрушечный | ватрушеч!н!ый
ватрушка | ватрушк!а
ватт | ватт!
ватт-секунда | ватт!-секунд!а
ватт-час | ватт!-час!
ваттметр | ватт!метр!
ваттный | ватт!н!ый (от ватт!)
вафельница | вафель!ниц!а
вафельный | вафель!н!ый
вафля | вафл!я
вахлак | вахлак!
вахлацкий | вахлац!к!ий
вахлачка | вахлач!к!а
вахмистерский | вахмистр!ск!ий и вахмистер!ск!ий
вахмистр | вахмистр!
вахмистрский | вахмистр!ск!ий и вахмистер!ск!ий
вахта | вахт!а
вахтенный | вахт!енн!ый
вахтер | вахт!ер!
вахтерский | вахт!ер!ск!ий
вахтерша | вахт!ер!ш!а
вахтовый | вахт!ов!ый
ваш | ваш!, -его, ваш!а, -ей, ваш!е, -его, мн. ваш!и,-их
вашгерд | вашгерд!
ваяльный | вая!ль!н!ый
ваяние | вая!ни!е 
ваятель | вая!тель!
ваятельный | вая!тельн!ый
ваять | вая!ть
вбегать | в!бег!а!ть
вбежать | в!беж!а!ть
вбивание | в!би!ва!ни!е 
вбивать | в!би!ва!ть
вбиваться | в!би!ва!ть!ся
вбивка | в!би!в!к!а
вбирать | в!бир!а!ть
вбираться | в!бир!а!ть!ся
вбитый | в!би!т!ый
вбить | в!би!ть, во!бь!ю
вблизи | в!близ!и
вбок | в!бок, нареч. (смотрел вбок), но сущ. в бок (ударить в бок)
вбрасывание | в!брас!ыва!ни!е 
вбрасывать | в!брас!ыва!ть
вбрасываться | в!брас!ыва!ть!ся
вброд | в!брод, нареч.
вбросанный | в!брос!а!нн!ый
вбросать | в!брос!а!ть
вбросить | в!брос!и!ть
вброситься | в!брос!и!ть!ся
вброшенный | в!брош!енн!ый
вбухать | в!бух!а!ть
вбухаться | в!бух!а!ть!ся
вваленный | в!вал!енн!ый
вваливать | в!вал!ива!ть
вваливаться | в!вал!ива!ть!ся
ввалить | в!вал!и!ть!
ввалиться | в!вал!и!ть!ся
введение | в!вед!ени!е 
введенный | в!вед!енн!ый
введший | в!вед!ш!ий
введшийся | в!вед!ш!ий!ся
ввезенный | в!вез!енн!ый
ввезти | в!вез!ти
ввезший | в!вез!ш!ий
ввек | в!век, нареч. (ввек не забуду), но сущ. в век (в век компьютеров)
ввергать | в!верг!а!ть
ввергаться | в!верг!а!ть!ся
ввергнувший | в!верг!ну!вш!ий и в!верг!ш!ий
ввергнувшийся | в!верг!ну!вш!ий!ся и в!верг!ш!ий!ся
ввергнутый | в!верг!ну!т!ый
ввергнуть | в!верг!ну!ть
ввергнуться | в!верг!ну!ть!ся
ввергший | в!верг!ш!ий и в!верг!ну!вш!ий
ввергшийся | в!верг!ш!ий!ся и в!верг!ну!вш!ий!ся
вверенный | в!вер!енн!ый
ввержение | в!верж!ени!е 
вверженный | в!верж!енн!ый
вверить | в!вер!и!ть
ввериться | в!вер!и!ть!ся
ввернутый | в!вер!ну!т!ый
ввернуть | в!вер!ну!ть
ввернуться | в!вер!ну!ть!ся
вверстанный | в!верст!а!нн!ый
вверстать | в!верст!а!ть
вверстка | в!верст!к!а
вверстывать | в!верст!ыва!ть
ввертеть | в!верт!е!ть
ввертка | в!верт!к!а
ввертывание | в!верт!ыва!ни!е 
ввертывать | в!верт!ыва!ть
ввертываться | в!верт!ыва!ть!ся
"вверх | в!верх, нареч. (подниматься вверх; вверх дном, ногами, тормашками), но сущ. в верх (в верх стены)"
вверху | в!верх!у, нареч.
вверченный | в!верч!енн!ый
вверчивать | в!верч!ива!ть
вверчиваться | в!верч!ива!ть!ся
вверять | в!вер!я!ть
вверяться | в!вер!я!ть!ся
ввести | в!вес!ти
ввестись | в!вес!ти!сь
ввечеру | в!вечер!у
ввивать | в!ви!ва!ть
ввиваться | в!ви!ва!ть!ся
ввиду | в!вид!у, предлог (ввиду предстоящего отъезда), но сущ. в виду (в виду города, иметь в виду)
ввинтить | в!винт!и!ть
ввинтиться | в!винт!и!ть!ся
ввинченный | в!винч!енн!ый
ввинчивание | в!винч!ива!ни!е 
ввинчивать | в!винч!ива!ть
ввинчиваться | в!винч!ива!ть!ся
ввитый | в!ви!т!ый
ввить | в!ви!ть, во!вь!ет
ввиться | в!ви!ть!ся, во!вь!ет!ся
ввод | в!вод!
вводить | в!вод!и!ть
вводиться | в!вод!и!ть!ся
вводный | в!вод!н!ый
ввоз | в!воз!
ввозить | в!воз!и!ть
ввозиться | в!воз!и!ть!ся
ввозка | в!воз!к!а
ввозной | в!воз!н!ой и в!воз!н!ый
ввозный | в!воз!н!ой и в!воз!н!ый
вволакивать | в!волак!ива!ть
вволакиваться | в!волак!ива!ть!ся
вволокший | в!волок!ш!ий
вволоченный | в!волоч!енн!ый
вволочь | в!волочь
вволю | в!вол!ю, нареч.
вволюшку | в!вол!юшк!у, нареч.
вворачивать | в!ворач!ива!ть
вворачиваться | в!ворач!ива!ть!ся
вворотить | в!ворот!и!ть
ввосьмеро | в!восьм!ер!о
ввосьмером | в!восьм!ер!ом
ввысь | в!высь, нареч. (взлететь ввысь), но сущ. в высь (в высь поднебесную)
ввязанный | в!вяз!а!нн!ый
ввязать | в!вяз!а!ть
ввязаться | в!вяз!а!ть!ся
ввязка | в!вяз!к!а
ввязнувший | в!вяз!ну!вш!ий и в!вяз!ш!ий
ввязнуть | в!вяз!ну!ть
ввязший | в!вяз!ш!ий и в!вяз!ну!вш!ий
ввязывание | в!вяз!ыва!ни!е 
ввязывать | в!вяз!ыва!ть
ввязываться | в!вяз!ыва!ть!ся
вгиб | в!гиб!
вгибание | в!гиб!а!ни!е 
вгибать | в!гиб!а!ть
вгибаться | в!гиб!а!ть!ся
вгладь | в!гладь, нареч.
вглубь | в!глубь, нареч. (распространиться вглубь и вширь), но сущ. в глубь (в глубь океана)
вглухую | в!глух!ую, нареч.
вглядеться | в!гляд!е!ть!ся
вглядывание | в!гляд!ыва!ни!е 
вглядываться | в!гляд!ыва!ть!ся
вгнездиться | в!гнезд!и!ть!ся
вгонка | в!гон!к!а
вгонять | в!гон!я!ть
вгоняться | в!гон!я!ть!ся
вгорячах | в!горяч!ах
вгорячую | в!горяч!ую, нареч.
вгрызаться | в!грыз!а!ть!ся
вгрызться | в!грыз!ть!ся
вгрызшийся | в!грыз!ш!ий!ся
вгустую | в!густ!ую, нареч.
вдавать | в!да!ва!ть
вдаваться | в!да!ва!ть!ся
вдавить | в!дав!и!ть
вдавиться | в!дав!и!ть!ся
вдавленный | в!давл!енн!ый
вдавливание | в!давл!ива!ни!е 
вдавливать | в!давл!ива!ть
вдавливаться | в!давл!ива!ть!ся
вдалбливание | в!далбл!ива!ни!е 
вдалбливать | в!далбл!ива!ть
вдалбливаться | в!далбл!ива!ть!ся
вдалеке | в!далек!е
вдали | в!дал!и, нареч. (вдали течет река), но сущ. в дали (в дали голубой)
вдаль | в!даль, нареч. (глядеть вдаль), но сущ. в даль (в даль веков)
вдаться | в!да!ть!ся
вдвигать | в!двиг!а!ть
вдвигаться | в!двиг!а!ть!ся
вдвижной | в!движ!н!ой
вдвинутый | в!дви!ну!т!ый
вдвинуть | в!дви!ну!ть
вдвинуться | в!дви!ну!ть!ся
вдвое | в!дв!о!е 
вдвоем | в!дв!о!ем [ой!ом]
вдвойне | в!дв!ой!н!е
вдевальный | в!де!ва!ль!н!ый
вдевание | в!де!ва!ни!е 
вдевать | в!де!ва!ть [ср.: про!де!ва!ть]
вдеваться | в!де!ва!ть!ся [ср.: про!де!ва!ть!ся]
вдевятеро | в!девят!ер!о
вдевятером | в!девят!ер!ом!
вдежка | в!деж!к!а
вделанный | в!дел!а!нн!ый
вделать | в!дел!а!ть
вделаться | в!дел!а!ть!ся
вделка | в!дел!к!а
вделывание | в!дел!ыва!ни!е 
вделывать | в!дел!ыва!ть
вделываться | в!дел!ыва!ть!ся
вдергивание | в!дерг!ива!ни!е 
вдергивать | в!дерг!ива!ть
вдергиваться | в!дерг!ива!ть!ся
вдержка | в!держ!к!а
вдернутый | в!дер!ну!т!ый
вдернуть | в!дер!ну!ть
вдернуться | в!дер!ну!ть!ся
вдесятеро | в!десят!ер!о
вдесятером | в!десят!ер!ом
вдетый | в!де!т!ый
вдеть | в!де!ть
вдеться | в!де!ть!ся
вдобавок | в!до!бав!ок, нареч.
вдова | вдов!а
вдоветь | вдов!е!ть
вдовец | вдов!ец!
вдовий | вдов!ий! (к вдов!а)
вдовица | вдов!иц!а
вдоволь | в!доволь
вдовство | вдов!ств!о
вдовствовать | вдов!ств!ова!ть
вдовушка | вдов!ушк!а
вдовый | вдов!ый
вдогад | в!догад
вдогон | в!до!гон
вдогонку | в!до!гон!к!у
вдолбежку | в!долб!еж!к!у, нареч.
вдолбить | в!долб!и!ть
вдолбиться | в!долб!и!ть!ся
вдолбленный | в!долбл!енн!ый
вдоль | в!доль
вдосталь | в!доста!ль
вдосыть | в!до!сыть
вдох | в!дох!
вдохновение | вдохнов!ени!е 
вдохновенность | вдохнов!енн!ость
вдохновенный | вдохнов!енн!ый
вдохновитель | вдохнов!и!тель!
вдохновительница | вдохнов!и!тель!ниц!а
вдохновительный | вдохнов!и!тельн!ый
вдохновить | вдохнов!и!ть
вдохновиться | вдохнов!и!ть!ся
вдохновленный | вдохновл!енн!ый
вдохновлять | вдохновл!я!ть
вдохновляться | вдохновл!я!ть!ся
вдохновляющий | вдохновл!я!ющ!ий
вдохнуть | в!дох!ну!ть
вдохнуться | в!дох!ну!ть!ся
вдребезги | в!дребезги
вдруг | вдруг
вдрызг | в!дрызг
вдувание | в!ду!ва!ни!е 
вдуватель | в!ду!ва!тель!
вдувать | в!ду!ва!ть
вдуваться | в!ду!ва!ть!ся
